Recency,Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,TotalQuantity,CustomerTenureDays,PreferredDayOfWeek,PreferredHour,PreferredMonth,WeekendPurchaseRatio,AvgDaysBetweenPurchases,UniqueProducts,AvgProductsPerTransaction,UniqueCountries,NegativeQuantityCount,ZeroPriceCount,CancelledTransactions,ReturnRatio,TotalTransactions,AvgLinesPerInvoice,Age,SupportTicketsCount,SatisfactionScore,RFMSegment,AgeCategory,SpendingCategory,PreferredTimeOfDay,LoyaltyLevel,ChurnRiskCategory,BasketSizeCategory,RegYear,RegMonth,RegWeekday,IsPrivateIP,MonetaryPerDay,AvgBasketValue,TenureRatio,CancelRate,Country_TargetEnc,CustomerType_Hyperactif,CustomerType_Nouveau,CustomerType_Occasionnel,CustomerType_Perdu,CustomerType_Régulier,FavoriteSeason_Automne,FavoriteSeason_Hiver,FavoriteSeason_Printemps,FavoriteSeason_Été,Region_Afrique,Region_Amérique du Nord,Region_Amérique du Sud,Region_Asie,Region_Autre,Region_Europe centrale,Region_Europe continentale,Region_Europe de l'Est,Region_Europe du Nord,Region_Europe du Sud,Region_Moyen-Orient,Region_Océanie,Region_UK,WeekendPreference_Inconnu,WeekendPreference_Semaine,WeekendPreference_Weekend,ProductDiversity_Explorateur,ProductDiversity_Modéré,ProductDiversity_Spécialisé,Gender_F,Gender_M,Gender_Unknown,AccountStatus_Active,AccountStatus_Closed,AccountStatus_Pending,AccountStatus_Suspended,Churn
302.0,17.0,5288.630000000001,16.950737179487184,13.603661689116102,1693.0,71.0,3.0,9.0,12.0,0.0,0.2218649517684887,24.0,0.6857142857142857,1.0,4.0,0.0,4.0,0.048076923076923,312.0,8.914285714285715,54.0,1.0,4.0,2,6,3,1,2,3,2,2010.0,7.0,5.0,0.0,17.45422442244225,146.90638888888893,4.194444444444445,0.04792332268370607,0.3324050632911392,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1
32.0,17.0,3079.1,15.70969387755102,11.6847688239824,1355.0,342.0,2.0,13.0,10.0,0.1683673469387755,1.7179487179487178,106.0,5.888888888888889,1.0,4.0,0.0,4.0,0.08403735130677059,196.0,10.88888888888889,58.6,3.0,4.0,3,6,3,2,3,1,2,2010.0,10.0,0.0,0.0,93.3060606060606,162.0578947368421,0.09329446064139942,0.08333333333333333,0.3324050632911392,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
3.0,17.0,5566.8125,28.634820717131475,23.15013187581723,3390.0,370.0,4.0,12.0,11.0,0.0557768924302788,1.456,115.0,6.388888888888889,1.0,4.0,0.0,4.0,0.0159362549800796,251.0,13.944444444444445,46.0,2.0,5.0,3,3,3,2,4,0,3,2009.0,9.0,5.0,0.0,272.0067176360225,378.281052631579,0.008086253369272238,0.015873015873015872,0.27586206896551724,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
96.0,5.0,948.25,33.86607142857142,42.95311926234322,439.0,278.0,0.0,9.0,9.0,0.0,10.25925925925926,24.0,4.8,1.0,0.0,0.0,0.0,0.0,28.0,5.6,32.0,2.0,2.0,1,1,2,1,3,3,3,2010.0,1.0,3.0,0.0,9.775773195876289,158.04166666666666,0.34408602150537637,0.0,0.3324050632911392,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1
330.0,6.0,635.1,61.213884130054346,63.840190572028845,58.0,43.0,2.0,9.0,12.0,0.0,8.2,1.0,0.1666666666666666,1.0,3.0,0.0,3.0,0.08403735130677059,6.0,1.0,49.0,2.0,1.0,1,6,2,1,2,3,2,2009.0,12.0,3.0,0.0,1.9187311178247735,90.72857142857143,7.5,0.08333333333333333,0.3324050632911392,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1
26.0,17.0,4596.51,42.16981651376147,49.09086065619568,2074.0,348.0,2.0,16.0,1.0,0.1651376146788991,3.1481481481481484,63.0,3.15,1.0,4.0,0.0,4.0,0.055045871559633,109.0,5.45,25.0,2.0,5.0,3,1,3,3,3,0,3,2010.0,10.0,0.0,0.0,170.2411111111111,218.8814285714286,0.07449856733524356,0.05454545454545454,0.3324050632911392,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
8.0,17.0,5107.38,14.226685236768802,23.64446978200517,3222.0,366.0,1.0,12.0,12.0,0.0,0.9972067039106144,148.0,5.481481481481482,1.0,4.0,0.0,4.0,0.08403735130677059,357.0,13.296296296296296,78.0,3.0,2.0,3,5,3,2,4,0,2,2010.0,11.0,1.0,0.0,272.0067176360225,182.40642857142856,0.021798365122615803,0.08333333333333333,0.3324050632911392,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0
16.0,15.0,4627.62,61.213884130054346,63.840190572028845,2015.0,357.0,4.0,15.0,10.0,0.0,5.587301587301587,47.0,3.1333333333333333,1.0,3.0,0.0,3.0,0.046875,64.0,4.266666666666667,38.0,2.0,2.0,3,2,3,3,3,0,3,2010.0,12.0,4.0,0.0,272.0067176360225,289.22625,0.0446927374301676,0.046153846153846156,0.3324050632911392,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1.0,17.0,5566.8125,23.85360899237254,46.625077317700935,3390.0,373.0,1.0,13.0,1.0,0.0397430750702529,0.1285140562248996,263.0,4.838983050847458,1.0,4.0,0.0,4.0,0.0449618627057406,357.0,21.110169491525426,57.4,1.0,3.0,3,6,3,2,4,0,3,2010.0,9.0,3.0,0.0,272.0067176360225,499.32218487394954,0.00267379679144385,0.0449438202247191,0.3324050632911392,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
3.0,17.0,5566.8125,7.627477744807122,9.759291387411546,2049.0,371.0,2.0,12.0,12.0,0.049455984174085,0.3336633663366337,263.0,3.8488372093023258,1.0,4.0,0.0,4.0,0.0385756676557863,357.0,11.755813953488373,75.0,2.0,1.0,3,5,3,2,4,0,1,2010.0,9.0,5.0,0.0,272.0067176360225,88.63655172413793,0.008064516129032258,0.038537549407114624,0.3324050632911392,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
